

/Gem Systems GSM-19GW 9013065 v7.0 8 XII 2008 M ew5fpl.v7s                         
/ID 1 file 05survey.b   15 II 00
/datum  57000.00
/
/time nT sq 
034222.0  32613.58 99 
034232.0  32613.59 99 
034242.0  32613.51 99 
034252.0  32613.48 99 
034302.0  32613.45 99 
034312.0  32613.57 99 
034322.0  32613.46 99 
034332.0  32613.51 99 
034342.0  32613.48 99 
034352.0  32613.49 99 
034402.0  32613.53 99 
034412.0  32613.50 99 
034422.0  32613.56 99 
034432.0  32613.59 99 
034442.0  32613.52 99 
034452.0  32613.62 99 
034502.0  32613.68 99 
034512.0  32613.66 99 
034522.0  32613.58 99 
034532.0  32613.51 99 
034542.0  32613.62 99 
034552.0  32613.64 99 
034602.0  32613.60 99 
034612.0  32613.69 99 
034622.0  32613.68 99 
034632.0  32613.64 99 
034642.0  32613.51 99 
034652.0  32613.57 99 
034702.0  32613.47 99 
034712.0  32613.50 99 
034722.0  32613.42 99 
034732.0  32613.47 99 
034742.0  32613.48 99 
034752.0  32613.40 99 
034802.0  32613.45 99 
034812.0  32613.42 99 
034822.0  32613.40 99 
034832.0  32613.39 99 
034842.0  32613.49 99 
034852.0  32613.52 99 
034902.0  32613.58 99 
034912.0  32613.54 99 
034922.0  32613.46 99 
034932.0  32613.43 99 
034942.0  32613.37 99 
034952.0  32613.50 99 
035002.0  32613.54 99 
035012.0  32613.53 99 
035022.0  32613.48 99 
035032.0  32613.59 99 
035042.0  32613.48 99 
035052.0  32613.48 99 
035102.0  32613.47 99 
035112.0  32613.45 99 
035122.0  32613.41 99 
035132.0  32613.48 99 
035142.0  32613.45 99 
035152.0  32613.54 99 
035202.0  32613.42 99 
035212.0  32613.47 99 
035222.0  32613.50 99 
035232.0  32613.53 99 
035242.0  32613.46 99 
035252.0  32613.49 99 
035302.0  32613.60 99 
035312.0  32613.58 99 
035322.0  32613.65 99 
035332.0  32613.65 99 
035342.0  32613.61 99 
035352.0  32613.66 99 
035402.0  32613.60 99 
035412.0  32613.64 99 
035422.0  32613.66 99 
035432.0  32613.69 99 
035442.0  32613.77 99 
035452.0  32613.85 99 
035502.0  32613.84 99 
035512.0  32613.75 99 
035522.0  32613.82 99 
035532.0  32613.77 99 
035542.0  32613.76 99 
035552.0  32613.84 99 
035602.0  32613.81 99 
035612.0  32613.78 99 
035622.0  32613.82 99 
035632.0  32613.88 99 
035642.0  32613.77 99 
035652.0  32613.79 99 
035702.0  32613.81 99 
035712.0  32613.79 99 
035722.0  32613.87 99 
035732.0  32613.78 99 
035742.0  32613.60 99 
035752.0  32613.55 99 
035802.0  32613.72 99 
035812.0  32613.74 99 
035822.0  32613.71 99 
035832.0  32613.68 99 
035842.0  32613.59 99 
035852.0  32613.71 99 
035902.0  32613.81 99 
035912.0  32613.67 99 
035922.0  32613.75 99 
035932.0  32613.67 99 
035942.0  32613.69 99 
035952.0  32613.79 99 
040002.0  32613.80 99 
040012.0  32613.64 99 
040022.0  32613.82 99 
040032.0  32613.83 99 
040042.0  32613.75 99 
040052.0  32613.72 99 
040102.0  32613.70 99 
040112.0  32613.69 99 
040122.0  32613.84 99 
040132.0  32613.85 99 
040142.0  32613.81 99 
040152.0  32613.89 99 
040202.0  32613.88 99 
040212.0  32613.76 99 
040222.0  32613.92 99 
040232.0  32614.08 99 
040242.0  32614.08 99 
040252.0  32614.06 99 
040302.0  32613.93 99 
040312.0  32613.96 99 
